"","cock_id","cockname","alcohol","base","taste","contents"
"37",37,"뱀부 [   Bamboo ]","약 16˚","와인","씁쓸한 맛","대나무(뱀부)를 이미지화해서 만든 칵테일이다. 일본 요코하마의 뉴그랜드 호텔 창업 당시 주임 바텐더였던 루이스 에빙거에 의해 고안되었다. 별칭으로는 '아모르'가 있다. 알코올 도수가 높은 와인의 일종인 셰리와 약초 맛의 드라이 베르무트가 씁쓸하고 산뜻한 맛으로 마무리하고 있다. 식전에 어울리는 칵테일이다. 믹싱 글라스에 얼음과 드라이 셰리 1½온스, 드라이 베르무트 ⅔온스, 오렌지 비터스 1대시를 넣은 다음 저어서 칵테일 글라스에 따른다. 뱀부를 만들때<U+00A0>넣는 드라이 베르무트를 스위트 베르무트로 바꾸면 아도니스(Adonis)가 된다."
"38",38,"베일리스 알렉산더 [   Bailey's Alexander ]",NA,"리큐어","달콤하고 부드러운 맛","초콜릿과 생크림으로 만든 베일리스를 한층 더 감미롭게 느낄수 있는 칵테일이다. 기호에 따라 너트메그 가루를 약간 뿌려도 괜찮다- 너트메그(Nutmeg) : 비릿한 냄새를 제거해 주는 향신료"
"39",39,"벨리니 [   Bellini ]","약 10˚","와인","깔끔한 맛","벨리니는 르네상스 초기에 활동했던 화가의 이름이다. 이탈리아 베니스의 하리즈 바(Bar) 사장이었던 주세페 치볼리아니씨가 1948년에 고안하여 세계적으로 알려졌다. 스파클링 와인의 상쾌함에 복숭아 넥타의 달콤함이 가미되어 산뜻한 맛이 난다. 하리즈 바에서는 신선한 복숭아를 이용하는 레시피를 택하고 있다. 샴페인 글라스에 아주 차게 식힌 샴페인 4온스, 복숭아 넥타 1온스, 그레나딘 시럽 1대시를 부은 다음 가볍게 젓는다.
- 샴페인은 스파클링 와인으로 불리기도한다."
"40",40,"벨벳 해머 [   Velvet Hammer ]","약 16˚","리큐어","단맛","벨벳(빌로드)을 연상시키는 부드러운 맛과 망치로 맞은 것 같이 얼얼해지는 알코올 도수를 표현한 칵테일 이름이다. 오렌지 맛의 화이트 퀴라소, 자메이카산 블루마운틴 커피콩을 원료로 만든 티아 마리아와 충분히 넣은 생크림이 부드럽고 달콤한 맛으로 마무리한다. 식후에 잘 어울리는 칵테일이다. 셰이커에 얼음과 화이트 퀴라소 1온스, 티아 마리아 ⅓온스, 생크림 1온스를 붓고 잘 흔든 다음 칵테일 글라스에 따른다. 여기서 티아 마리아 대신 칼루아를 사용해도 된다."
"41",41,"불 샷 [   Bull Shot ]","15˚","보드카","씁쓸한 맛","보드카에 비프 비욘(Beef Bouillon)을 넣은 칵테일이다. 핀란드에서는 술을 금하는 날(일요일·축일)이 있는데, 얼음없이 이 칵테일을 수프접시에 넣고 불 샷 수프라고 하면서<U+00A0>내놓는<U+00A0>레스토랑이 있다고 한다. 기호에 따라 셀러리 스틱이나 오이스틱과 함께 먹거나 소금, 후춧가루를 첨가하는 경우도 있다. 올드 패션드 글라스 얼음과 보드카 1~1½온스, 비프 비욘(Beef Bouillon) 적당량을 넣고 가볍게 젓는다.
- 비프 비욘(Beef Bouillon) : 소고기 육수"
"42",42,"브랜디 사워 [   Brandy Sour ]","약 23˚","브랜디","레몬향이 강하여 깔끔함","브랜디 이외의 술을 베이스로 한 것으로 위스키 사워, 진 사워, 럼 사워, 테킬라 사워 등이 있다. 브랜디의 특유의 달콤한 향과 레몬 주스의 신맛이 감칠맛과 좋은 향기를 만들어 낸다. 소다수를 첨가하는 경우가 많아지고 있다. 셰이커에 브랜디 1½온스, 레몬 주스 ½온스, 설탕 1티스푼, 얼음을 넣고 흔든 후 글라스에 따른다. 라임, 레몬과 마라스키노 체리로 장식한다."
"43",43,"브랜디 에그노그 [   Brandy Egg Nog ]","약 12˚","브랜디","약간 단맛","에그노그 스타일의 롱 드링크로 계란과 우유를 사용하기 때문에 영양가가 높다. 우유와 함께 브랜디의 단 향이 계란의 비린내를 없애고, 먹기 좋은 칵테일로 만들어 준다. 우유는 가장 나중에 가득 따르는 것이 중요하다. 너트메그(Nutmeg:육두구의 씨)나 시나몬 가루를 넣어도 좋다. 셰이커에 브랜디 1온스, 럼 ½온스, 계란 1개, 설탕 2티스푼, 우유 적당량과 얼음을 넣고 충분히 흔든 다음 글라스에 따른다."
"44",44,"브랜디 크러스터 [   Brandy Crusta ]","약 25˚~30˚","브랜디","중간","크러스터라는 것은 스노우 스타일 글라스에 나선 모양으로 벗긴 과일 필로 장식한 것을 말한다. 롱 드링크 스타일의 하나이기도 하다다. 레몬의 껍질을 끝에서부터 들어가게 하는 것이 포인트이다. 베이스를 변화시킨 위스키 크러스터, 럼 크러스터가 있다. 만들려면 우선 스노우 스타일을 한 글라스에 나선형으로 벗긴 레몬필을 장식해 둔다. 셰이커에 브랜디 1½온스~2온스, 마라스키노 1티스푼, 레몬 주스 1티스푼, 앙고스투라 비터스 1대시와 얼음을 넣고 흔든 후 글라스에 따른다."
"45",45,"브루클린 [   Brooklyn ]","약 30˚","위스키","약간 쓴맛","맛이 맨해튼과 비슷하기 때문에 미국의 뉴욕시 맨해튼 옆에 위치한 지역명인 브루클린이라는 이름이 붙었다. 브루클린 시는 서민적인 분위기가 느껴지는데 이 칵테일 역시 담백한 맛이 난다. 아메르 피코(Amer Picon)와 마라스키노(Maraschino)의 풍미가 느껴진다. 셰이커에 아메리칸 위스키 1½온스, 드라이 베르무트 ½온스, 아메르 피콘 1대시, 마라스키노 1대시와 얼음을 넣고 흔든 다음 칵테일 글라스에 따른다."
"46",46,"블랙 러시안 [   Black Russian ]","32˚","보드카","달콤한 맛","블랙 러시안이라는 이름은 러시아를 대표하는 보드카를 사용한다는 것과 색이 검정인 것에서 유래하었다. 커피 리큐어의 단맛이 특징으로 알코올 도수가 높은데도 마시기가 좋다. 베이스를 테킬라로 변화시키면 브레이브 불(Brave bull)이 되고, 커피 리큐어를 디 사로노 아마렛토(Disaronno Amaretto)로 변화시키면 갓 마더가 된다. 올드 패션드 글라스에 얼음과 보드카 1½온스, 커피 리큐어 ½온스를 넣고 가볍게 젓는다."
"47",47,"블랙 벨벳 [   Black Velvet ]","약 10˚","비어","조금 쓴맛","블랙 벨벳은 '검은 빌로드'라는 의미이다. 완성품의 색 배합과 매끄러운 맛에서 붙여진 이름이다. 아일랜드 태생의 기네스 또는 흑맥주와 프랑스 태생의 샴페인이 고급스러운 맛으로 마무리하고 있다. 기네스 또는 흑맥주와 샴페인은 물론이고 필스너 글라스도 아주 차게 식혀두어야 한다. 아주 차게 식힌 필스너 글라스에 샴페인 Half, 기네스 또는 흑맥주 Half을 동시에 따른다."
"48",48,"블러드 앤 샌드 [   Blood and Sand ]","약 18˚","위스키","단맛","블러드 앤 샌드라는 문자 그대로 '피와 모래'라는 의미이다. 이 이름은 스페인의 소설가 블라스코 이바녜스(Vicente Blasco lbcuez, 1867~1927)가 쓴 투우사의 성쇠를 테마로 한 소설 제목이다. 하지만 과격한 이름과는 대조적으로 입에 닿는 감촉은 부드러운 단맛이며, 완성된 칵테일의 색채도 산뜻하다. 위스키 ½온스, 스위트 베르무트 ½온스, 체리 브랜디 ½온스, 오렌지 주스 ½온스와 얼음을 넣고 흔든 다음 글라스에 따른다."
"49",49,"블러디 메리 [   Bloody Mary ]","약 15˚","보드카","약간 쓴 맛","16세기 중반 영국의 여왕 메리 1세는 가톨릭의 부흥을 위해 신교도를 박해하여 '피의 메리'라고 불렸다. 토마토 주스가 피 색을 연상시켜 이름의 유래가 되었다는 설이 유력하다. 마시는 사람은 장식된 레몬을 짜서 기호에 맞게 맛을 조절한다. 하이 볼 글라스에 얼음과 보드카 1~1½온스, 우스터 소스 1대시, 타바스코 2대시, 소금 약간, 토마토 주스를 적당량 넣고 가볍게 저은 다음 셀러리 스틱과 1/6로 자른 레몬 조각을 장식한다. 블러디 불과 같이 해장술로 많이 마시는 칵테일이다."
"50",50,"블루 하와이 [   Blue Hawaii ]","약 17˚","럼","조금 달콤한 맛","수많은 트로피컬 칵테일 중에서도 상쾌한 마린블루 색으로 인해 더욱 돋보이는 칵테일이다. 사계절이 여름인 하와이 섬의 아름다운 모습을 연상시킨다. 색의 비밀은 블루 퀴라소에 있다. 베네수엘라 북쪽에 있는 퀴라소섬의 오렌지를 사용해 만든 리큐어를 퀴라소라고 부른다. 이 퀴라소에 블루를 착색한 것이 블루 퀴라소이다. 화이트 럼과 블루 퀴라소가 하와이의 시원하게 트인 하늘과 푸른 바다를 생생하게 재현하고 있다. 파인애플 주스와 레몬 주스가 새콤달콤하며 상쾌한 맛을 연출하고 있다. 장식으로는 파인애플 조각과 계절 꽃을 이용한다. 셰이커에 얼음과 화이트 럼 1온스, 블루 퀴라소 ½온스, 파인애플 주스 1온스, 레몬 주스 ½온스를 넣고 잘 흔든 그랑드 글라스에 따른다."
"51",51,"비앤비 [   B&B ]","약 42˚","브랜디","달콤한 맛","베네딕틴(Benedictine)과 브랜디(Brandy)의 머리글자 '비(B)'를 따서 붙여진 명칭이다. 베네딕틴과 브랜디(코냑)를 같은 비율로 배합하며, 달콤한 맛이 난다. 베네딕틴을 따른 후 브랜디를 띄우듯이 따르는 스타일과 재료를 믹싱하는 경우가 있으며, 온더록스로 마시는 것이 일반적이지만 스트레이트로 마시기도 한다."
"52",52,"비어 스피리처 [   Beer Spiritzer ]","약 10˚","비어","약간 쓴맛","비어를 이용한 칵테일이 다수 있긴 하지만, 그 중에서도 비어 본래의 쌉쌀함과 상쾌함을 살려 완성한 것이 이 칵테일이다. 화이트 와인에 소다수로 만드는 칵테일 '스프리처'에서 소다수를 비어로 바꾼 레시피이다. 비어와 화이트 와인의 배합을 조절해 자신의 기호에 맞게 만들 수 있어서 '마이 비어 스프리처(my beer spiritzer)'를 만드는 재미도 있다. 비어를 좋아하는 사람에게 특히 추천할 만한 칵테일이다. 좀더 맛있게 마시기 위해서는 글라스, 화이트 와인, 비어 모두를 아주 차게 식혀 두는 것이 포인트이다. 아주 차게 식힌 고블렛 글라스에 얼음을 넣고 화이트 와인을 부은 다음 비어를 채워서 가볍게 젓는다."
"53",53,"비틴 더 시트 [   Between the sheet ]","약 32˚","브랜디","오렌지 향이 강함","'침대에 들어가다.'라는 뜻을 가진 칵테일이다. 이름처럼 나이트캡(잘 때 마시는 술)에 적당한 음료이다. 단맛과 쓴맛의 중간으로 먹기가 쉽고, 오렌지 맛이 강한 화이트 퀴라소가 나이트캡에서는 빠질 수 없는 단향을 이끌어 낸다. 셰이커에 브랜디 ½온스, 럼(화이트), 트리플섹 ½온스, 레몬 주스 ½온스와 얼음을 넣고 흔든 다음 글라스에 따른다."
"54",54,"사이드 카 [   Side car ]","약 30˚","브랜디","강한 브랜디의 맛과 시큼한 맛과 코앙트로의 단맛","제1차 세계대전 중에 전쟁터에서 대활약을 했던 사이드 카를 이름으로 한 칵테일이다. 프랑스의 군인이 만들었다는 설과 파리의 하리즈 뉴욕 바의 바텐더였던 하리 마켈혼이 고안했다고 하는 설이 있다. 브랜디 대신에 진을 사용하면 '화이트 레이디(White Lady)', 보드카를 사용하면 '발랄라이카(Balalaika)', 라이트 럼을 사용하면 '엑스와이지(X,Y,Z)'라는 칵테일이 된다. 브랜디 1온스, 레몬 주스 ½온스, 코앙트로(Cointreau : 오렌지 맛의 달콤한 리큐어) ½온스와 얼음을 셰이커에 넣고 흔든 후<U+00A0>칵테일 글라스에 따르면 브랜디의 풍부한 맛이 느껴지는 사이드 카 칵테일이 된다. 코앙트로 대신 트리플섹을 사용해도 된다."
"55",55,"상하이 [   Shanghai ]","약 20˚","럼","조금 쓴맛","일찍이 상하이는 뉴욕, 런던과 견줄 만한 아시아 최대의 무역도시로 번창했었다. 그러나 상하이의 이면에는 마약과 범죄로 얼룩진 뒷골목도 있어서 빛과 어둠이 공존하며 묘한 매력으로 사람들을 끌어당기는 곳이었다. 이러한 격동의 시대에 탄생한 칵테일로 이름만큼이나 묘한 동양의 이국적인 분위기를 색채와 향기로 표현하고 있다. 자메이카 럼과 아니세트(아니스의 종자로 만든 리큐어)가 개성 강한 풍미를 만들어 내고, 그레나딘 시럽의 단맛과 레몬 주스의 신맛이 적절하게 가미되어 전체적인 조화를 이룬다. 셰이커에 얼음과 자메이카 럼 1½온스, 아니세트 ⅓온스, 레몬 주스 ⅓온스, 그레나딘 시럽 2대시를 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
"56",56,"샌디 개프 [   Shandy Gaff ]","약 3˚","비어","약간 쓴맛","비어 베이스의 대표적인 칵테일이다. 이탈리아에서는 역사가 아주 길다. 프랑스에서는 비어와 같은 양의 투명한 탄산 음료로 만든 '파나셰'라고 하는 칵테일이 있는데, 샌디 개프도 파나셰의 일종이라고 할 수 있다. 진저 에일의 생강 맛과 약한 단맛이 씁쓸한 비어와 조화를 이룬 산뜻한 맛의 칵테일이다. 머그 글라스에 아주 차게 식힌 비어 Half, 진저 에일 Half을 천천히 부은 다음 가볍게 젓는다."
"57",57,"샴페인 칵테일 [   Champagne Cocktail ]","약 15˚","와인","씁쓸한 맛","20세기 초반에 이미 레시피가 완성되어 있었던 역사가 긴 칵테일이다. 1943년에 제작된 미국 영화 '카사블랑카' 중에서 험프리 보가트가 '당신 눈동자에 건배!'라는 대사와 함께 등장하여 전세계적으로 유명해졌다. 각설탕으로부터 올라오는 섬세한 기포가 로맨틱한 분위기를 연출해 준다. 데이트에 추천할 만한 칵테일이다. 샴페인 글라스에 넣은 각설탕 1개에 앙고스투라 비터스 1대시, 샴페인 1글라스를 채운 다음 오렌지 조각 또는 레몬필로 장식한다."
"58",58,"솔티 도그 [   Salty Dog ]","약 15˚","보드카","약간 쓴맛","솔티 도그는 '짠 녀석'이라는 의미로 '영국의 갑판원'을 가리키는 말이다. 항해하다보면 몸에 짠 냄새가 배기 때문이다. 솔티 도그 칵테일은 영국에서는 진 베이스였지만 미국으로 건너오면서 보드카로 바뀌었다. 글라스 테두리에 소금을 묻힌 스노우 스타일의 여름용 칵테일이다. 자몽 주스의 신맛과 소금의 짠맛이 절묘한 조화를 이룬다. 글라스 테두리에 소금을 사용하지 않는 것을 테일레스 도그(꼬리없는 개), 불도그(털이 짧은 개), 그레이 하운드(달릴 때 털을 뒷다리 사이에 넣는 개)라고 한다. 하이 볼 글라스에 얼음과 보드카 1~1½온스, 그레이프<U+00A0>프루트 주스 적당량을 넣고 바스푼으로 가볍게 저은 다음 오렌지 슬라이스로 장식한다."
"59",59,"스카이 락 [   Sky Lark ]",NA,"보드카","상큼한 맛","스카이 락은 만물이 소생하는 봄철에 어울리는 칵테일로써 보드카와 미도리(멜론 리큐어)가 잘 어울려 시각적으로도 상큼한 그린 색의 칵테일이다. 장식은 그린 체리로 글라스 테두리에 꽂아주면 된다."
"60",60,"스카치 킬트 [   Scotch kilt ]","약 36˚","위스키","약간 쓴맛","스카치 킬트라는 것은 스코틀랜드의 대표적인 민족 의상으로 남성의 예복용 스커트를 말한다. 스코트랜드에서 처음 만들어지기 시작한 칵테일인 만큼 베이스는 스카치 위스키를 사용한다. 러스티 네일과 비슷한 종류의 칵테일이지만, 만들 때 믹싱 글라스에 넣고 바스푼으로 젓는 것과 오렌지 비터스를 사용한 것이 다르다. 스카치 위스키 1½온스, 드람브이 ½온스, 오렌지 비터스 2대시와 얼음을 믹싱 글라스에 넣고 저은 후 칵테일 글라스에 따른다."
"61",61,"스콜피온 [   Scorpion ]","약 25˚","럼","깔끔한 맛","'전갈'이라는 무서운 이름의 칵테일이다. 감칠 맛 뒤에 숨어있는 높은 알코올 도수에서 비롯된 이름이다. 하와이에서 처음 만들어진 트로피컬 칵테일이다. 투명한 오렌지색이 화려하고 상쾌해 보이는데 실제 맛도 상쾌하며 마시기 좋다. 그러나 럼과 브랜디가 들어가기 때문에 의외로 독하다. 슬라이스 오렌지와 붉은 체리로 장식한다. 셰이커에 얼음과 화이트 럼 1온스, 브랜디 1온스, 오렌지 주스 1온스, 레몬 주스 ½온스, 설탕시럽 1티스푼을 넣어 잘 흔든 다음 크러시드 아이스(잘게 부순 얼음)를 채운 필스너 글라스에 따르고 오렌지와 체리로 장식한다."
"62",62,"스크류 드라이버 [   Screwdriver ]","약 25˚","보드카","새콤한 맛","'못 빼는 기계(드라이버)'라는 뜻이다. 이란의 유전에서 근무하던 미국인이 보드카와 오렌지 주스를 섞을 때 작업용 공구인 드라이버를 사용했다고 하여 붙여진 이름이다. 베이스로 보드카를 사용했기 때문에 비교적 독하지만, 오렌지 주스가 맛을 부드럽게 한다.<U+00A0>여성을 취하게 하는데 많이 사용되었다고 하여 '플레이 보이'나 '레이디 킬러'라고도 불린다.<U+00A0>하이 볼 글라스에 얼음과 보드카 1온스~1½온스, 오렌지 주스 적당량를 넣고 가볍게 저은 다음 오렌지 조각으로 장식한다."
"63",63,"스팅어 [   Stinger ]","약 32˚","브랜디 베이스","브랜디와 페퍼민트 자극적인 향의 조화","뉴욕의 코로니 레스토랑의 바텐더가 고안한 식후주로서 명물 칵테일로 유명하게 되었다. 스팅어란 '찌르는 바늘', '가시돋힌 말'이란 뜻으로 자극적인 맛을 의미한다. 페퍼민트가 톡 쏘는 맛과 향긋한 내음을 나게 한다. 위를 개운하고 상쾌하게 하여 부담을 덜어 주고, 소화를 촉진시켜 식후에 최적인 칵테일이다. 브랜디 1½온스, 크렘 드 민트(Creme de Menthe) 화이트 ½온스와 얼음을<U+00A0>셰이커에 넣고 흔든 후 칵테일 글라스에 따른다."
"64",64,"스푸모니 [   Spumoni ]","약 5˚","리큐어","깔끔한 맛","캄파리의 고향인 이탈리아에서 탄생한 칵테일이다. 캄파리를 베이스로 한 캄파리 소다나 캄파리 오렌지와 같은 종류로 인기가 높은 롱 드링크이다. '스푸모니'의 어원은 이탈리아어로 '스푸마래' 즉 '거품을 일으킨다'는 뜻으로 토닉워터의 기포가 올라오는 것을 보고 붙여진 이름이다. 캄파리의 쌉쌀한 맛과 그레이프 프루트의 상큼한 맛이 조화를 이루어 특히 여성에게 인기가 있다. 그레이프 프루트 주스를 충분히 넣어서 한층 산뜻한 맛으로 마무리하고 있다. 장식에도 그레이프 프루트를 사용한다. 얼음을 넣은 하이 볼 글라스에 캄파리 1온스와 그레이프 프루트 주스 1½온스를 따르고 차가운 토닉워터를 채운다."
"65",65,"스프리처 [   Spritzer ]","약 5˚","와인","씁쓸한 맛","스프리처는 독일어로 '스프리첸'이 어원으로 '세게 터지다'라는 의미이다. 글라스 안에서 소다수 기포가 마치 춤을 추는 것 같이 터지는 데서 비롯된 이름이다. 오스트리아의 잘츠부르크에서 탄생했다. 지금도 매년 잘츠부르크 여름 축제에 빠지지 않고 등장하는 칵테일이다. 맛 뿐만 아니라 보기에도 상쾌한 칵테일로 식전에 잘 어울린다. 차게 식힌 화이트 와인 2온스를 얼음이 채워져 있는 와인 글라스에 따른 다음 소다수를 채운다. 사용하는 모든 재료를 차게 해 두는 것이 포인트이다. 기호에 따라 레몬을 장식해도 좋다.
- 샴페인은 스파클링 와인으로 불리기도 한다."
"66",66,"슬로 진 피즈 [   Sloe Gin Fizz ]","약 10˚~15˚","리큐어","약간 쓴맛","슬로 진이란 영국이나 프랑스의 들판에서 자생하고 있는 슬로베리를 진에 넣어 만든 리큐어이다. 화려한<U+00A0>향기와 산뜻한 장미색이 특징이다. 셰이커에 슬로 진 1~1½온스, 레몬 주스 ½온스, 설탕 1~2티스푼을 넣어 잘 흔든 다음 하이 볼 글라스에 따라 차가운 소다수를 넣고 가볍게 젓는다. 레몬 또는 오렌지 등으로 장식한다. 베이스를 슬로 진에서 크렘 드 카카오로 바꾸면 카카오 피즈, 크렘 드 바이올렛으로 바꾸면 바이올렛 피즈가 된다."
"67",67,"슬로 테킬라 [   Sloe Tequila ]","약 15˚","테킬라","약간 쓴맛","테킬라를 베이스로 슬로 진과 레몬 주스를 사용해 만든 칵테일이다. 테킬라 베이스 중에서도 인기가 높다. 플럼의 일종인 슬로베리로 만든 슬로 진의 독특한 풍미가 뛰어난 칵테일로, 레몬 주스를 넘기기 쉽게 만들어 준다. 셰이커에 테킬라 1온스, 슬로 진 ½온스, 레몬 주스 ½온스와 얼음을 넣고 잘 흔든 다음 크러시드 아이스(잘게 부순 얼음)를 넣은 글라스에 따르고 오이나 셀러리 줄기를 장식하고 빨대를 꽂는다."
"68",68,"싱가포르 슬링 [   Singapore Sling ]","약 17˚","진","새콤달콤하면서 시원한 맛","영국의 소설가 서머싯 몸이 '동양의 신비'라고 극찬했던 칵테일이다. 싱가포르<U+00A0>래플스(Raffles) 호텔에서 고안하였는데, 저녁 노을을 표현하였다고 한다. 연한 주홍빛이 나는<U+00A0>아름다운 색배합과 새콤달콤한 맛으로 인해 여성에게 인기가 높다. 특유의 화려한 과일장식을 보면서 마시는 것도 즐겁다. 셰이커에 드라이 진 1온스, 체리 브랜디 ½온스, 레몬 주스 ½온스, 설탕시럽 1티스푼을 넣고 흔든 다음 글라스에 따른다. 글라스에 얼음을 첨가한 차가운 소다수로 가득 채우고 오렌지, 체리로 장식한다.<U+00A0>설탕시럽 외에 그레다닌 시럽 ⅓온스 사용해도 된다."
"69",69,"아도니스 [   adonis ]","16˚","와인","조금 쓴맛","'아도니스'란 그리스 신화에 나오는 비너스(아프로디테)에게 사랑을 받았던 미소년의 이름이다. 드라이 셰리의 맛을 살린 칵테일의 걸작으로 1900년대 초기에 탄생했다고 전해진다. 뱀부(Bamboo)의 레시피에 있는 드라이 베르무트를 스위트 베르무트로 바꾼 달콤한 향기가 나는 식전 칵테일이다. 믹싱 글라스에 얼음과 드라이 셰리 1½온스, 스위트 베르무트 ⅔온스, 오렌지 비터스 1대시를 넣어 잘 저은 다음 칵테일 글라스에 따른다."
"70",70,"아메리카 레모네이드 [   America Lemonade ]","약 3˚","와인","조금 쓴맛","레몬 주스와 레드 와인를 사용한 플로트 스타일의 롱 드링크이다. 2개로 나뉜 층이 아름다워 여성용 칵테일로 불린다. 또 도수도 낮아서 술에 약한 사람에게도 적당한 칵테일이다. 설탕을 레몬 주스에 잘 녹인 후 물을 넣는데 가능하면 미네랄 워터를 사용하는 것이 좋다. 이 때 설탕을 많이 넣으면 나중에 와인이 잘 뜬다. 하이 볼 글라스에 레몬 주스 1온스, 설탕 3티스푼를 넣어 잘 녹인 다음 얼음과 냉수를 넣고 차갑게 식힌 레드 와인을 살짝 띄운다."
"71",71,"아메리칸 뷰티 [   American beauty ]","약 13˚","브랜디","산뜻한 과일 맛","아메리칸 뷰티는 장미 품종의 하나로 미국의 수도 워싱턴 DC를 상징하는 꽃으로 잘 알려져 있다. 포트 와인 이외의 재료를 셰이커에 넣고 흔든 다음 글라스에 따라 둔다. 그 후 소량의 포트 와인을 조용히 플로트하는 것이 이 칵테일의 진정한 멋이다. 브랜디 ⅔온스, 드라이 베르무트 ⅔온스, 그레나딘 시럽(grenadine) ⅓온스, 오렌지 주스 ⅓온스, 크렘 드 망트 화이트 1대시를 셰이커에 넣고 흔든 다음 글라스에 따른다. 여기에 포트 와인 적당량을 플로트 한다."
"72",72,"아이리시 커피 [   Irish Coffee ]","약 10˚","위스키","뜨거운 커피 맛과 생크림의 부드러움","아이리시 커피는 아일랜드 더블린공항 로비라운지에서 고객서비스 차원에서 추운 승객들에게 제공해 주던 칵테일이다. 먼저 글라스 테두리에 황설탕(Brown Sugar)을 묻히고 아이리시 위스키 1온스를 붓고, 글라스를 알코올 램프에 데워 불이 붙으면 커피를 부어서 생크림을 씌운 후 계핏가루를 약간 뿌려준다. 베이스가 브랜디이면 로열 커피가 되고, 아이리시 위스키 대신에 베일리스를 쓰면 베일리스<U+00A0>커피가 된다."
"73",73,"아이리시 프라페 [   Irish Frappe ]",NA,"리큐어","달콤한 맛","잘게 부순 얼음을 글라스에 가득 채우고 베일리스와 냉커피, 설탕시럽을 넣어 재운 후 휘프드 크림을 얹고 계핏가루를 살짝 뿌려 준다."
"74",74,"알렉산더 [   Alexander ]","약 23˚","브랜디","크림 맛","19세기 중반 영국의 국왕 에드워드 7세와 왕비 알렉산더의 결혼을 기념하기 위해 만든 칵테일이다. 처음에는 알렉산드라라고 하는 여성의 이름이 붙었으나 시간이 지나자 지금의 이름으로 변했다고 한다. 크림 맛이 부드럽게 입에 닿는 여성 취향의 칵테일이다. 식후 칵테일로서는 최적이다. 브랜디 대신에 보드카를 넣으면 바바라(Babara)라는 칵테일이 된다. 브랜디 1온스, 크렘 드 카카오 브라운(Creme de Cacao Brown) 1온스, 생크림 1온스와 얼음을 셰이커에 넣고 흔든 다음 글라스에 따른다. 장식으로는<U+00A0>너트메그 가루를 살짝 뿌려준다.
- 너트메그(NutMeg) : 비릿한 냄새를 제거해주는 향신료(육두구 열매)"
"75",75,"어라운드 더 월드 [   Around the World ]","약 30˚","진","상쾌한 맛","'세계일주'라는 의미를 가진 칵테일로, 초록의 시원한 색채가 특징이다. 파인애플주스의 적당한 신맛과 페퍼민트의 상쾌한 맛이 입안을 개운하게 한다. 알코올 도수는 약간 높지만, 아름다운 색과 개운한 맛 때문에 여성들이 많이 찾는다. 민트체리(Minthe Cherry)로 장식을 하여 세련된 느낌을 추가하는 것도 좋다. 셰이커에 드라이 진 1½온스, 페퍼민트 ⅓온스, 파인애플 주스 ⅓온스와 얼음을 넣고 흔든 후 글라스에 따른다."
"76",76,"에프리코트 칵테일 [   Apricot Cocktail ]","약 8˚","리큐어","깔끔한 맛","향기가 강한 리큐어인 에프리코트 브랜디를 베이스로 신선한 주스를 풍부하게 사용한 칵테일이다. 살구, 오렌지, 레몬의 맛이 섞여 있어서 마시기가 편하고 상큼한 맛이 살아있는 쇼트 스타일의 칵테일이다. 드라이 진 한 스푼이 전체의 조화를 이루는 역할을 하고 있다. 단맛과 신맛이 균형을 이루고 있어서 누구나 부담감 없이 쉽게 즐길 수 있다. 맛, 향기, 색의 삼박자를 고루 갖춘 칵테일이라고도 불린다. 셰이커에 얼음과 에프리코트 브랜디 1~1½온스, 오렌지 주스 ½온스, 레몬 주스 ½온스와 드라이 진 1티스푼을 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
"77",77,"엑스와이지 [   x.y.z ]","약 26˚","럼","약간 단맛","엑스와이지는 알파벳의 끝, 즉 '최후의 칵테일'이라는 의미이다. '이것 이상의 칵테일은 없는 최고의 칵테일'이라는 만든 이의 자신감이 넘쳐나는 이름이다. 바텐더들에게는 '굿바이'로 알려져 있다. 바(Bar) 영업이 끝난 뒤에도 돌아가지 않는 손님들에게 바텐더가 서비스로 권하는 칵테일이다. '이제 우리도 퇴근을 해야 하니까 이 한 잔을 마시고 집에 가라'는 뜻에서 제공하는 것이다. 사이드 카(Side Car)의 베이스를 브랜디에서 럼으로 바꾼 것으로 럼 사이드 카라고도 불린다. 레몬의 신맛과 퀴라소의 달고 쌉쌀한 맛이 어우러져 럼을 살짝 감싸준다. 맛과 완성품의 아름다운 모습 때문에 여성들에게도 인기가 높다. 셰이커에 얼음과 화이트 럼 1½온스, 화이트 퀴라소 ½온스, 레몬 주스 ½온스를 넣고 잘 흔든 다음 칵테일 글라스에 따른다. 베이스를 럼에서 진으로 바꾸면 '화이트 레이디(White Lady)', 보드카로 바꾸면 '발랄라이카'가 된다."
